# V.I.C.T.O.R. - dziennik diagnostyczny
# telefon: samsung SM-A236B
# Android: 13 (SDK 33)
# aplikacja: 0.1.0-alpha-debug (1)
# dostawca AI: gemini
# transkrypcja w chmurze: false
# mikrofon okularów przy starcie: true
# źródło zdjęcia: full (dzielnik 3)
19:08:49.171          ms  SESJA        start sesji
19:22:37.660          ms  BLE          ROZŁĄCZONO  świadome=false
19:22:43.259          ms  BLE          POŁĄCZONO  noweŁącze=true
19:22:43.264          ms  BLE          powitanie okularów - start
19:22:43.275          ms  BLE          powitanie okularów - koniec  frazaWybudzenia=true kanałZapisu=true
19:22:43.543          ms  BLE          nieobsługiwana ramka notify  typ=0x1 ramka=BC 73 09 00 C7 B8 01 00 00 00 00 06 00 01 01 sztuk=1 pierwsza=true
19:22:43.584          ms  WAKE         okulary odpowiedziały o frazie wybudzenia  żądano=true zgłaszają=true
19:22:45.340          ms  BLE          POŁĄCZONO  noweŁącze=false
19:22:48.278          ms  AUDIO        okulary NIE podały swojej części audio  poMs=5000
19:24:54.566          ms  ZDJĘCIE      okulary zgłosiły gotowe zdjęcie  tryb=2 opisz=true powtórka=false
19:24:54.602          ms  ZDJĘCIE      zdjęcie z przycisku: pobieram
19:25:00.196          ms  ZDJĘCIE      zdjęcie z przycisku: miniatura  bajtów=15310 jpeg=true kompletny=true
19:25:00.198      +0 ms  SESJA        --- TURA 8a93 ---  źródło=BUTTON
19:25:00.199      +1 ms  SESJA        pytanie  tekst=Opisz krótko, co widać na tym zdjęciu. Jeśli jest na nim tekst, przeczytaj to, co istotne. wymuszonyObraz=true
19:25:00.203      +5 ms  ZDJĘCIE      robię zdjęcie  okularyGotowe=true wzorzecWidzenia=true wymuszone=true zNagrania=false
19:25:00.257     +59 ms  AUDIO        proszę okulary o włączenie trybu multimediów  powód=brak A2DP przed odpowiedzią
19:25:00.266     +68 ms  AUDIO        brak A2DP - biorę profil rozmowy  a2dp=false scoStoi=true
